Unknown IDS references in BCS & BS files
Number of hits: 411
File: NWMIN1A.bcs, Line: 172, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 173, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 174, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 55, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 56, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 57, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 58, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 59, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 60, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 290, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 304, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 379, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 409, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 420, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 531, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 532, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 533, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 534, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 535, Error: 0 not found in SPELL.IDS
File: NWNYMPH1.bcs, Line: 536, Error: 0 not found in SPELL.IDS
File: NWPLAT2.bcs, Line: 46, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWRANGE.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 65, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 86, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 143, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 144, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 145, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 146, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 147, Error: 0 not found in SPELL.IDS
File: NWTHIEF2.bcs, Line: 148, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWVAATH.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWVANEVL.bcs, Line: 48, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 17, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 18, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 19, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 20, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 21, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 22, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 55, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 56, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 57, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 316, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 317, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 318, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 319, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 320, Error: 0 not found in SPELL.IDS
File: NWWARDOK.bcs, Line: 321, Error: 0 not found in SPELL.IDS
File: NWWTARST.bcs, Line: 116, Error: 0 not found in SPELL.IDS
File: NWWTARST.bcs, Line: 176, Error: 0 not found in SPELL.IDS
File: NWWTARST.bcs, Line: 177, Error: 0 not found in SPELL.IDS
